species_combo,cross_type,div_time_mya,div_time_mya_adjusted,div_time_mgens,div_time_mgens_adjusted,div_time_mgens_nocons,F1_RI,F2_RI,premating_RI,prezyg_RI,postzyg_RI,terminal_stage,fertility_f,fertility_m,F1_stage
nouraguensis-nouraguensis,conspecific,0,0,0,0,,0,0.325,0,0,0,adult,,,0
tropicalis-tropicalis,conspecific,0,0.021,0,0.21,,0,0.235,0,0,0,adult,,,0
brenneri-brenneri,conspecific,0,3.519,0,35.19,,0.218,0.005,0,0,0.000,adult,,,0
elegans-elegans,conspecific,0,0.008,0,0.08,,0,0.064,0,0,0,adult,,,0
remanei-remanei,conspecific,0,1.18,0,11.8,,0,0,0,0,0,adult,,,0
afra-becei,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,0,0,1,emb,,,3
afra-brenneri,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
afra-briggsae,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
afra-doughertyi,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
afra-elegans,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
afra-imperialis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,,,ambig_emb,,,3.5
afra-macrosperma,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,,,ambig_emb,,,3.5
afra-nigoni,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
afra-nouraguensis,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,,,ambig_emb,,,3.5
afra-panamensis,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,1,,no fert,,,4
afra-remanei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
afra-sinica,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
afra-sulstoni,heterospecific,20.462,20.462,204.62,204.62,204.62,1,1,0,0,1,emb,,,3
afra-wallacei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
angaria-castelli,heterospecific,9.585,9.585,95.85,95.85,95.85,1,1,0,0,1,sterile_adult,1,1,1
angaria-dolens,heterospecific,47.755,47.755,477.55,477.55,477.55,1,1,,1,,no fert,,,4
angaria-quiockensis,heterospecific,47.755,47.755,477.55,477.55,477.55,1,1,,1,,no fert,,,4
astrocarya-dolens,heterospecific,109.553,109.553,1095.53,1095.53,1095.53,1,1,,1,,no fert,,,4
astrocarya-guadeloupensis,heterospecific,109.471,109.471,1094.71,1094.71,1094.71,1,1,,1,,no fert,,,4
becei-afra,heterospecific,49.206,49.206,492.06,492.06,492.06,1,1,,1,,no fert,,,4
becei-guadeloupensis,heterospecific,99.223,99.223,992.23,992.23,992.23,1,1,,1,,no fert,,,4
becei-imperialis,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,1,,no fert,,,4
becei-japonica,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,,1,,no fert,,,4
becei-macrosperma,heterospecific,38.685,38.685,386.85,386.85,386.85,1,1,0,0,1,emb,,,3
becei-nouraguensis,heterospecific,9.77,9.77,97.7,97.7,97.7,1,1,0,0,1,sterile_adult,1,1,1
becei-panamensis,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,,1,,no fert,,,4
becei-remanei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
becei-sp25,heterospecific,56.779,56.779,567.79,567.79,567.79,1,1,0,0,1,emb,,,3
becei-waitukubuli,heterospecific,31.117,31.117,311.17,311.17,311.17,1,1,0,0,1,emb,,,3
becei-yunquensis,heterospecific,19.177,19.177,191.77,191.77,191.77,1,1,0,0,1,emb,,,3
brenneri-afra,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
brenneri-becei,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,1,,no fert,,,4
brenneri-briggsae,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0,1,larvae,,,2
brenneri-doughertyi,heterospecific,36.852,36.852,368.52,368.52,368.52,1,1,0,0,1,emb,,,3
brenneri-elegans,heterospecific,53.028,53.028,530.28,530.28,530.28,1,1,0,0,1,emb,,,3
brenneri-inopinata,heterospecific,53.028,53.028,530.28,530.28,530.28,1,1,0,0,1,emb,,,3
brenneri-kamaaina,heterospecific,64.549,64.549,645.49,645.49,645.49,1,1,0,0,1,emb,,,3
brenneri-macrosperma,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
brenneri-nigoni,heterospecific,47.288,47.288,472.88,472.88,472.88,1,1,0,0,1,emb,,,3
brenneri-nouraguensis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,,,,ambig_emb,,,3.5
brenneri-panamensis,heterospecific,71.302,71.302,713.02,713.02,713.02,1,1,0,0,1,emb,,,3
